Year-Month,date,tc,rh,ws,wd,p,o3,no,no2,nox,co,pm10,pm25,aqs,date_only
2015-12,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.838709677419355,4.838709677419355,4.838709677419355,4.435483870967742,100.0,0.0,0.0,0.0
2016-01,0.0,0.4032258064516129,0.4032258064516129,0.2688172043010753,0.2688172043010753,0.4032258064516129,4.704301075268817,5.64516129032258,5.64516129032258,5.64516129032258,8.736559139784946,100.0,0.4032258064516129,0.0,0.0
2016-02,0.0,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.43103448275862066,0.43103448275862066,4.885057471264368,44.68390804597701,44.68390804597701,44.68390804597701,41.66666666666667,100.0,0.43103448275862066,0.0,0.0
2016-03,0.0,2.6881720430107525,2.6881720430107525,2.553763440860215,2.553763440860215,2.6881720430107525,8.60215053763441,7.93010752688172,7.93010752688172,7.93010752688172,8.198924731182796,100.0,3.3602150537634405,0.0,0.0
2016-04,0.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,5.694444444444445,5.694444444444445,5.694444444444445,5.694444444444445,100.0,0.0,0.0,0.0
2016-05,0.0,0.0,0.0,0.0,0.0,0.0,4.838709677419355,4.973118279569892,4.973118279569892,4.973118279569892,4.301075268817205,100.0,0.0,0.0,0.0
2016-06,0.0,0.1388888888888889,0.1388888888888889,0.0,0.0,0.1388888888888889,4.444444444444445,5.277777777777778,5.277777777777778,5.277777777777778,5.0,100.0,0.1388888888888889,0.0,0.0
2016-07,0.0,0.2688172043010753,0.2688172043010753,0.2688172043010753,0.2688172043010753,0.2688172043010753,4.435483870967742,4.435483870967742,4.435483870967742,4.435483870967742,4.435483870967742,100.0,0.2688172043010753,0.0,0.0
2016-08,0.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,4.301075268817205,4.301075268817205,4.301075268817205,4.301075268817205,4.435483870967742,100.0,0.13440860215053765,0.0,0.0
2016-09,0.0,0.0,0.0,0.0,0.0,0.0,8.88888888888889,4.444444444444445,4.444444444444445,4.444444444444445,4.305555555555555,100.0,0.0,0.0,0.0
2016-10,0.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,4.838709677419355,4.838709677419355,4.838709677419355,4.838709677419355,4.301075268817205,100.0,0.13440860215053765,0.0,0.0
2016-11,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.444444444444445,4.444444444444445,4.444444444444445,4.166666666666666,100.0,0.1388888888888889,0.0,0.0
2016-12,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,2.6881720430107525,0.0,0.0
2017-01,0.0,24.193548387096776,3.225806451612903,2.82258064516129,2.82258064516129,3.0913978494623655,7.258064516129033,6.989247311827956,6.989247311827956,6.989247311827956,7.123655913978495,100.0,3.0913978494623655,0.0,0.0
2017-02,0.0,15.327380952380953,1.1904761904761905,0.5952380952380952,0.5952380952380952,0.8928571428571428,6.25,5.208333333333334,5.208333333333334,5.208333333333334,5.059523809523809,100.0,0.8928571428571428,0.0,0.0
2017-03,0.0,18.682795698924732,3.0913978494623655,2.553763440860215,2.553763440860215,2.6881720430107525,7.93010752688172,8.198924731182796,8.198924731182796,8.198924731182796,7.661290322580645,100.0,2.956989247311828,0.0,0.0
2017-04,0.0,0.1388888888888889,0.0,0.0,0.0,0.0,4.166666666666666,11.38888888888889,11.38888888888889,11.38888888888889,5.277777777777778,100.0,0.0,0.0,0.0
2017-05,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.435483870967742,4.435483870967742,4.435483870967742,4.166666666666666,100.0,11.021505376344086,0.0,0.0
2017-06,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333,7.5,7.5,7.5,4.861111111111112,100.0,0.0,0.0,0.0
2017-07,0.0,9.274193548387096,6.317204301075269,6.048387096774194,6.048387096774194,6.317204301075269,10.21505376344086,10.483870967741936,10.483870967741936,10.483870967741936,10.483870967741936,100.0,6.317204301075269,0.0,0.0
2017-08,0.0,44.75806451612903,36.424731182795696,0.0,0.0,0.0,4.166666666666666,12.096774193548388,12.096774193548388,12.096774193548388,4.166666666666666,100.0,0.0,0.0,0.0
2017-09,0.0,68.05555555555556,68.33333333333333,0.1388888888888889,0.1388888888888889,0.1388888888888889,4.444444444444445,12.777777777777777,12.777777777777777,12.777777777777777,4.305555555555555,100.0,0.1388888888888889,0.0,0.0
2017-10,0.0,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,0.13440860215053765,4.301075268817205,4.435483870967742,4.435483870967742,4.435483870967742,4.56989247311828,100.0,0.13440860215053765,0.0,0.0
2017-11,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,4.305555555555555,4.305555555555555,4.305555555555555,4.166666666666666,100.0,38.47222222222222,0.0,0.0
2017-12,0.0,0.4032258064516129,0.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2018-01,0.0,24.327956989247312,18.682795698924732,8.60215053763441,8.60215053763441,8.60215053763441,12.365591397849462,15.32258064516129,15.32258064516129,15.32258064516129,20.56451612903226,100.0,8.60215053763441,0.0,0.0
2018-02,0.0,100.0,99.85119047619048,0.0,0.0,0.0,4.166666666666666,7.440476190476191,7.440476190476191,7.440476190476191,4.166666666666666,100.0,0.0,0.0,0.0
2018-03,0.0,100.0,29.973118279569892,0.0,0.0,0.0,4.166666666666666,4.56989247311828,4.56989247311828,4.56989247311828,4.166666666666666,100.0,0.0,0.0,0.0
2018-04,0.0,63.47222222222222,63.33333333333333,0.0,0.0,0.0,4.861111111111112,5.416666666666667,5.416666666666667,5.416666666666667,5.277777777777778,100.0,0.4166666666666667,0.0,0.0
2018-05,0.0,2.1505376344086025,2.0161290322580645,1.3440860215053763,1.3440860215053763,1.478494623655914,5.510752688172043,5.64516129032258,5.64516129032258,5.64516129032258,5.510752688172043,100.0,1.478494623655914,0.0,0.0
2018-06,0.0,41.80555555555556,93.19444444444444,0.4166666666666667,0.4166666666666667,0.5555555555555556,5.0,5.277777777777778,5.277777777777778,5.277777777777778,5.416666666666667,100.0,0.5555555555555556,0.0,0.0
2018-07,0.0,100.0,100.0,0.0,0.0,0.0,4.301075268817205,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2018-08,0.0,100.0,100.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,100.0,0.0,0.0,0.0
2018-09,0.0,100.0,100.0,12.5,12.5,12.916666666666668,16.52777777777778,16.52777777777778,16.52777777777778,16.52777777777778,16.666666666666664,100.0,70.83333333333334,0.0,0.0
2018-10,0.0,100.0,100.0,0.0,0.0,0.13440860215053765,4.301075268817205,5.10752688172043,5.10752688172043,5.10752688172043,4.301075268817205,100.0,0.13440860215053765,0.0,0.0
